config_index,experiment,model,symbols,complexity,seed_index,seed_string,target_string,sequence_length,window_size,forecast_horizon,layers,units,d_model,matched_target_size_m,matched_param_abs_error_m,matched_param_rel_error,optimizer,learning_rate,weight_decay,batch_size,run,model_params,model_size_m,train_time,epochs,time_per_epoch,memory_mb,test_loss,test_accuracy,DL,JW,forecast
3,matched_size_high_complexity,GRU,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,160,0,0.2,0.034884,0.17442,AdamW,0.0003,0.01,128,1,234884,0.234884,65.21350932121277,57,1.1440966547581188,227.671875,0.05022361253698667,1.0,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
9,matched_size_high_complexity,Performer,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,320,80,0.2,0.012588000000000016,0.06294000000000008,AdamW,0.0003,0.01,128,1,187412,0.187412,154.0184280872345,26,5.923785695662866,952.91552734375,0.021719897786776226,1.0,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
15,matched_size_high_complexity,GRU,4,90,1,BDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCBABCDCABDAABADCBCCADDDDDABDCBABBDADACBCADAACCDDABBCCDCAABDBAAABBCCDDCBDCDABBBAADCCDBBBDDBACBBCCCACCABACDADADAAADBDAACCC,CDADADAAADBDAACCCBDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCB,3500,100,100,2,160,0,0.2,0.034884,0.17442,AdamW,0.0003,0.01,128,1,234884,0.234884,68.24115204811096,60,1.1373525341351827,227.671875,0.049921209613482155,1.0,0.0,0.0,CDADADAAADBDAACCCBDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCB
21,matched_size_high_complexity,Performer,4,90,1,BDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCBABCDCABDAABADCBCCADDDDDABDCBABBDADACBCADAACCDDABBCCDCAABDBAAABBCCDDCBDCDABBBAADCCDBBBDDBACBBCCCACCABACDADADAAADBDAACCC,CDADADAAADBDAACCCBDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCB,3500,100,100,2,320,80,0.2,0.012588000000000016,0.06294000000000008,AdamW,0.0003,0.01,128,1,187412,0.187412,148.23871421813965,25,5.929548568725586,949.57177734375,0.016919477532307308,1.0,0.0,0.0,CDADADAAADBDAACCCBDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCB
27,matched_size_high_complexity,GRU,8,90,0,BEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDGAHACBBFHGECGCBGCECDCHEGHECGDFAAHBACEBHEFGFCDHEFECFCCABGFCEDCGADC,BACEBHEFGFCDHEFECFCCABGFCEDCGADCBEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDG,3500,100,100,2,160,0,0.2,0.03744799999999998,0.1872399999999999,AdamW,0.0003,0.01,128,1,237448,0.237448,46.87781071662903,41,1.1433612369909518,233.2724609375,0.04514004786809286,1.0,0.0,0.0,BACEBHEFGFCDHEFECFCCABGFCEDCGADCBEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDG
33,matched_size_high_complexity,Performer,8,90,0,BEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDGAHACBBFHGECGCBGCECDCHEGHECGDFAAHBACEBHEFGFCDHEFECFCCABGFCEDCGADC,BACEBHEFGFCDHEFECFCCABGFCEDCGADCBEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDG,3500,100,100,2,320,80,0.2,0.01194400000000001,0.05972000000000005,AdamW,0.0003,0.01,128,1,188056,0.188056,79.70904493331909,13,6.131464994870699,955.82275390625,0.03576787685354551,1.0,0.0,0.0,BACEBHEFGFCDHEFECFCCABGFCEDCGADCBEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDG
39,matched_size_high_complexity,GRU,8,90,1,GFBHDECACAAEGGCDDHDCBFCAGDEAGHFCBFAAHDDCFEGHHFFBECHCFBHFBFBAHHGBGCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBA,GCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBAGFBHDECACAAEGGCDDHDCBFCAG,3500,100,100,2,160,0,0.2,0.03744799999999998,0.1872399999999999,AdamW,0.0003,0.01,128,1,237448,0.237448,53.65048670768738,47,1.1414997171848378,233.72802734375,0.047501044968763985,1.0,0.0,0.0,GCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBAGFBHDECACAAEGGCDDHDCBFCAG
45,matched_size_high_complexity,Performer,8,90,1,GFBHDECACAAEGGCDDHDCBFCAGDEAGHFCBFAAHDDCFEGHHFFBECHCFBHFBFBAHHGBGCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBA,GCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBAGFBHDECACAAEGGCDDHDCBFCAG,3500,100,100,2,320,80,0.2,0.01194400000000001,0.05972000000000005,AdamW,0.0003,0.01,128,1,188056,0.188056,74.0190634727478,12,6.16825528939565,954.7421875,0.044849722335735955,1.0,0.0,0.0,GCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBAGFBHDECACAAEGGCDDHDCBFCAG
