config_index,experiment,model,symbols,complexity,seed_index,seed_string,target_string,sequence_length,window_size,forecast_horizon,layers,units,d_model,matched_target_size_m,matched_param_abs_error_m,matched_param_rel_error,optimizer,learning_rate,weight_decay,batch_size,run,model_params,model_size_m,train_time,epochs,time_per_epoch,memory_mb,test_loss,test_accuracy,DL,JW,forecast
2,matched_size_high_complexity,GRU,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,160,0,0.2,0.034884,0.17442,AdamW,0.0003,0.01,128,0,234884,0.234884,70.81987643241882,64,1.1065605692565441,227.671875,0.048773196836312614,1.0,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
8,matched_size_high_complexity,Performer,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,320,80,0.2,0.012588000000000016,0.06294000000000008,AdamW,0.0003,0.01,128,0,187412,0.187412,97.39005470275879,15,6.4926703135172525,952.91552734375,0.04418662811319033,1.0,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
14,matched_size_high_complexity,GRU,4,90,1,BDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCBABCDCABDAABADCBCCADDDDDABDCBABBDADACBCADAACCDDABBCCDCAABDBAAABBCCDDCBDCDABBBAADCCDBBBDDBACBBCCCACCABACDADADAAADBDAACCC,CDADADAAADBDAACCCBDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCB,3500,100,100,2,160,0,0.2,0.034884,0.17442,AdamW,0.0003,0.01,128,0,234884,0.234884,63.124940633773804,56,1.1272310827459608,227.671875,0.04445591320594152,1.0,0.0,0.0,CDADADAAADBDAACCCBDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCB
20,matched_size_high_complexity,Performer,4,90,1,BDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCBABCDCABDAABADCBCCADDDDDABDCBABBDADACBCADAACCDDABBCCDCAABDBAAABBCCDDCBDCDABBBAADCCDBBBDDBACBBCCCACCABACDADADAAADBDAACCC,CDADADAAADBDAACCCBDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCB,3500,100,100,2,320,80,0.2,0.012588000000000016,0.06294000000000008,AdamW,0.0003,0.01,128,0,187412,0.187412,100.12053918838501,16,6.257533699274063,949.57177734375,0.03450476316114267,1.0,0.0,0.0,CDADADAAADBDAACCCBDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCB
26,matched_size_high_complexity,GRU,8,90,0,BEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDGAHACBBFHGECGCBGCECDCHEGHECGDFAAHBACEBHEFGFCDHEFECFCCABGFCEDCGADC,BACEBHEFGFCDHEFECFCCABGFCEDCGADCBEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDG,3500,100,100,2,160,0,0.2,0.03744799999999998,0.1872399999999999,AdamW,0.0003,0.01,128,0,237448,0.237448,51.373871088027954,45,1.1416415797339545,233.2724609375,0.04740877697865168,1.0,0.0,0.0,BACEBHEFGFCDHEFECFCCABGFCEDCGADCBEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDG
32,matched_size_high_complexity,Performer,8,90,0,BEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDGAHACBBFHGECGCBGCECDCHEGHECGDFAAHBACEBHEFGFCDHEFECFCCABGFCEDCGADC,BACEBHEFGFCDHEFECFCCABGFCEDCGADCBEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDG,3500,100,100,2,320,80,0.2,0.01194400000000001,0.05972000000000005,AdamW,0.0003,0.01,128,0,188056,0.188056,104.6558609008789,17,6.156227111816406,955.82275390625,0.04907947530349096,1.0,0.0,0.0,BACEBHEFGFCDHEFECFCCABGFCEDCGADCBEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDG
38,matched_size_high_complexity,GRU,8,90,1,GFBHDECACAAEGGCDDHDCBFCAGDEAGHFCBFAAHDDCFEGHHFFBECHCFBHFBFBAHHGBGCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBA,GCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBAGFBHDECACAAEGGCDDHDCBFCAG,3500,100,100,2,160,0,0.2,0.03744799999999998,0.1872399999999999,AdamW,0.0003,0.01,128,0,237448,0.237448,45.50897812843323,43,1.0583483285682147,233.72802734375,0.043391081194082894,1.0,0.0,0.0,GCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBAGFBHDECACAAEGGCDDHDCBFCAG
44,matched_size_high_complexity,Performer,8,90,1,GFBHDECACAAEGGCDDHDCBFCAGDEAGHFCBFAAHDDCFEGHHFFBECHCFBHFBFBAHHGBGCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBA,GCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBAGFBHDECACAAEGGCDDHDCBFCAG,3500,100,100,2,320,80,0.2,0.01194400000000001,0.05972000000000005,AdamW,0.0003,0.01,128,0,188056,0.188056,87.2545804977417,14,6.2324700355529785,954.7421875,0.03912814209858576,1.0,0.0,0.0,GCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBAGFBHDECACAAEGGCDDHDCBFCAG
