config_index,experiment,model,symbols,complexity,seed_index,seed_string,target_string,sequence_length,window_size,forecast_horizon,layers,units,d_model,matched_target_size_m,matched_param_abs_error_m,matched_param_rel_error,optimizer,learning_rate,weight_decay,batch_size,run,model_params,model_size_m,train_time,epochs,time_per_epoch,memory_mb,test_loss,test_accuracy,DL,JW,forecast
5,matched_size_high_complexity,Transformer,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,256,64,0.2,0.03430799999999998,0.1715399999999999,AdamW,0.0003,0.01,128,1,234308,0.234308,15.435636758804321,34,0.45398931643542123,333.14404296875,0.05138577024141947,0.9939393939393939,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
11,matched_size_high_complexity,RWKV,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,384,96,0.2,0.025507999999999975,0.12753999999999988,AdamW,0.0003,0.01,128,1,225508,0.225508,36.7174015045166,26,1.4122077501737154,250.41162109375,0.041518356651067734,0.9878787878787879,0.43,0.0793191489361702,BCDDDCCDCAACADDDCACACCBDDDBABACBDCAABBCDAADCDDDDACDCDABDDCAAABCBCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBB
17,matched_size_high_complexity,Transformer,4,90,1,BDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCBABCDCABDAABADCBCCADDDDDABDCBABBDADACBCADAACCDDABBCCDCAABDBAAABBCCDDCBDCDABBBAADCCDBBBDDBACBBCCCACCABACDADADAAADBDAACCC,CDADADAAADBDAACCCBDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCB,3500,100,100,2,256,64,0.2,0.03430799999999998,0.1715399999999999,AdamW,0.0003,0.01,128,1,234308,0.234308,16.87205219268799,38,0.44400137349178914,334.14501953125,0.020189857110381126,1.0,0.0,0.0,CDADADAAADBDAACCCBDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCB
23,matched_size_high_complexity,RWKV,4,90,1,BDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCBABCDCABDAABADCBCCADDDDDABDCBABBDADACBCADAACCDDABBCCDCAABDBAAABBCCDDCBDCDABBBAADCCDBBBDDBACBBCCCACCABACDADADAAADBDAACCC,CDADADAAADBDAACCCBDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCDADDCADAACCDCCDADABBCADBBABDBDABCB,3500,100,100,2,384,96,0.2,0.025507999999999975,0.12753999999999988,AdamW,0.0003,0.01,128,1,225508,0.225508,43.685407400131226,31,1.4092066903268137,250.41162109375,0.038280874490737915,0.990909090909091,0.21,0.057777777777777706,CDADADAAADBDAACCCBDCABCABCDCABADCCBADABABBCCADBBBCDDBAABCCCABABCCCABABCCCABABCCCABABCCCABABCCCABABCC
29,matched_size_high_complexity,Transformer,8,90,0,BEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDGAHACBBFHGECGCBGCECDCHEGHECGDFAAHBACEBHEFGFCDHEFECFCCABGFCEDCGADC,BACEBHEFGFCDHEFECFCCABGFCEDCGADCBEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDG,3500,100,100,2,256,64,0.2,0.034823999999999994,0.17411999999999997,AdamW,0.0003,0.01,128,1,234824,0.234824,9.455514669418335,21,0.450262603305635,338.10302734375,0.041590869426727295,1.0,0.0,0.0,BACEBHEFGFCDHEFECFCCABGFCEDCGADCBEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDG
35,matched_size_high_complexity,RWKV,8,90,0,BEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDGAHACBBFHGECGCBGCECDCHEGHECGDFAAHBACEBHEFGFCDHEFECFCCABGFCEDCGADC,BACEBHEFGFCDHEFECFCCABGFCEDCGADCBEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDG,3500,100,100,2,384,96,0.2,0.026279999999999998,0.1314,AdamW,0.0003,0.01,128,1,226280,0.22628,10.655345439910889,7,1.5221922057015556,256.41455078125,0.049634563426176705,1.0,0.0,0.0,BACEBHEFGFCDHEFECFCCABGFCEDCGADCBEDFCGHACDHEHBGBGAGBDBAFEGHAGGHEHAFGGEAAGCEAACHDHGBCBECGCGADDHFAEFDG
41,matched_size_high_complexity,Transformer,8,90,1,GFBHDECACAAEGGCDDHDCBFCAGDEAGHFCBFAAHDDCFEGHHFFBECHCFBHFBFBAHHGBGCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBA,GCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBAGFBHDECACAAEGGCDDHDCBFCAG,3500,100,100,2,256,64,0.2,0.034823999999999994,0.17411999999999997,AdamW,0.0003,0.01,128,1,234824,0.234824,8.99979853630066,20,0.44998992681503297,338.2060546875,0.042911491046349205,1.0,0.0,0.0,GCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBAGFBHDECACAAEGGCDDHDCBFCAG
47,matched_size_high_complexity,RWKV,8,90,1,GFBHDECACAAEGGCDDHDCBFCAGDEAGHFCBFAAHDDCFEGHHFFBECHCFBHFBFBAHHGBGCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBA,GCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBAGFBHDECACAAEGGCDDHDCBFCAG,3500,100,100,2,384,96,0.2,0.026279999999999998,0.1314,AdamW,0.0003,0.01,128,1,226280,0.22628,12.02359652519226,8,1.5029495656490326,257.20849609375,0.04170368735988935,1.0,0.0,0.0,GCDECBHEBGHDFBHACHHAAGBDCDABBCDEHGDCHCHGBBDHBDEHFDADCCDEAECFAHHDGFGBABEGCBAGFBHDECACAAEGGCDDHDCBFCAG
