Metric1,Metric2,Spearman_Corr,p_value
DL,train_time,0.03199981411656649,0.05488143543087338
JW,train_time,-0.09285185678590971,2.388140073398532e-08
DL,memory,0.22805960879165138,1.078052243273162e-43
model_size,epochs,-0.36788306678081134,8.791678607249148e-116
test_accuracy,train_time,-0.47992115522312623,8.127923197275643e-207
JW,test_accuracy,-0.15879779192572244,9.206524745754623e-22
