config_index,model,symbols,complexity,seed_index,seed_string,target_string,sequence_length,window_size,forecast_horizon,layers,units,d_model,optimizer,learning_rate,weight_decay,batch_size,run,model_params,model_size_m,train_time,epochs,time_per_epoch,memory_mb,test_loss,test_accuracy,DL,JW,forecast
4,minGRU,2,10,0,BAABABABBBABBBBAAB,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,0,66434,0.066434,8.213970184326172,76,0.10807855505692332,192.01953125,0.048816461116075516,1.0,0.0,0.0,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB
12,Performer,2,10,0,BAABABABBBABBBBAAB,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,0,1580802,1.580802,54.38918614387512,8,6.79864826798439,3778.00634765625,0.0009775957635914285,1.0,0.0,0.0,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB
20,minGRU,2,10,1,BABBBBABBBAABBBBB,BABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,0,66434,0.066434,5.699075698852539,52,0.10959760959331806,191.9853515625,0.12210484345753987,0.9393939393939394,0.13,0.038612244897959114,BABBBBABBBABBBBABBBABBBBABBBABBBBABBBABBBBABBBABBBBABBBABBBBABBBABBBBABBBABBBBABBBABBBBABBBABBBBABBB
28,Performer,2,10,1,BABBBBABBBAABBBBB,BABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,0,1580802,1.580802,34.7489857673645,5,6.9497971534729,3778.00634765625,0.0006507886767697831,1.0,0.0,0.0,BABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBB
36,minGRU,2,30,0,BAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABBAAABBAABABBABABAABBABABABB,AAAAABAABBAABAAABBAAABBAABABBABABAABBABABABBBAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,0,66434,0.066434,21.51768970489502,200,0.10758844852447509,191.9853515625,0.20254593094189963,0.9,0.18,0.04911340206185566,AAAABAABAAABAAABBAAABBAABAABBAABBAABBABABABABABBBAABAAABAAABAABBAABBABBBAABAAABAAABAAABBAABBABBBBAAB
44,Performer,2,30,0,BAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABBAAABBAABABBABABAABBABABABB,AAAAABAABBAABAAABBAAABBAABABBABABAABBABABABBBAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,0,1580802,1.580802,40.875274419784546,6,6.812545736630757,3778.00634765625,0.03682997946937879,1.0,0.0,0.0,AAAAABAABBAABAAABBAAABBAABABBABABAABBABABABBBAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABB
52,minGRU,2,30,1,ABAABBABBBBBBABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBB,BABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBBABAABBABBBBBBABBBABBAABBBBBAAAABBAB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,0,66434,0.066434,19.837480783462524,200,0.09918740391731262,191.9853515625,0.3544653356075287,0.8666666666666667,0.4,0.20892307692307688,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBABBBBBBBBBBBBABBAABBBBBAAAAAABABABBABAAABAABAA
60,Performer,2,30,1,ABAABBABBBBBBABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBB,BABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBBABAABBABBBBBBABBBABBAABBBBBAAAABBAB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,0,1580802,1.580802,29.401328086853027,4,7.350332021713257,3778.00634765625,0.022105307628711064,1.0,0.0,0.0,BABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBBABAABBABBBBBBABBBABBAABBBBBAAAABBAB
68,minGRU,2,50,0,BABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBABAABBAABBBBBBABBBBAABBBAAAABABAABBBAAABBBAABAAAAABBABAAABBBAAAABBBAAAABBBBABBBABAABBBBBBABA,BBBABBBABAABBBBBBABABABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBA,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,0,66434,0.066434,21.489566564559937,200,0.10744783282279968,191.9853515625,0.5192314386367798,0.7424242424242424,0.27,0.07699999999999996,BBBBBBBBABBBABBBAAABAABBBBBBABBBABBBABABABABABABBBBBBABBBABBBABABBABABABABBBBABBBABBBABABBBAAAABABAA
76,Performer,2,50,0,BABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBABAABBAABBBBBBABBBBAABBBAAAABABAABBBAAABBBAABAAAAABBABAAABBBAAAABBBAAAABBBBABBBABAABBBBBBABA,BBBABBBABAABBBBBBABABABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBA,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,0,1580802,1.580802,162.09140491485596,27,6.003385367216887,3778.00634765625,0.4658643404642741,0.7545454545454545,0.19,0.04800000000000004,BBABBBBBABABBBBBABABABBBABABBBBAAAABABABBBBABABBBABABBBBBAAAAABABABBBBBABABBBBABABBBABAABBBBBAAAAABA
