config_index,model,symbols,complexity,seed_index,seed_string,target_string,sequence_length,window_size,forecast_horizon,layers,units,d_model,optimizer,learning_rate,weight_decay,batch_size,run,model_params,model_size_m,train_time,epochs,time_per_epoch,memory_mb,test_loss,test_accuracy,DL,JW,forecast
1,LSTM,2,10,0,BAABABABBBABBBBAAB,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,1,199938,0.199938,20.885608196258545,18,1.160311566458808,209.18310546875,0.030495962128043175,1.0,0.0,0.0,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB
9,Transformer,2,10,0,BAABABABBBABBBBAAB,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,1,3688706,3.688706,16.853968143463135,11,1.5321789221330122,1308.1015625,0.011606604792177677,1.0,0.0,0.0,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB
17,LSTM,2,10,1,BABBBBABBBAABBBBB,BABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,1,199938,0.199938,22.473183155059814,20,1.1236591577529906,209.18310546875,0.03944095969200134,1.0,0.0,0.0,BABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBB
25,Transformer,2,10,1,BABBBBABBBAABBBBB,BABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,1,3688706,3.688706,48.45615768432617,32,1.5142549276351929,1308.1015625,0.005741062108427286,1.0,0.0,0.0,BABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBB
33,LSTM,2,30,0,BAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABBAAABBAABABBABABAABBABABABB,AAAAABAABBAABAAABBAAABBAABABBABABAABBABABABBBAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,1,199938,0.199938,58.0331335067749,52,1.1160217982072096,209.18310546875,0.049902343501647316,1.0,0.0,0.0,AAAAABAABBAABAAABBAAABBAABABBABABAABBABABABBBAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABB
41,Transformer,2,30,0,BAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABBAAABBAABABBABABAABBABABABB,AAAAABAABBAABAAABBAAABBAABABBABABAABBABABABBBAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,1,3688706,3.688706,44.13660740852356,29,1.5219519796042607,1308.1015625,0.3671184778213501,0.8393939393939394,0.21,0.10678481012658225,AAAAAAAABBAABAAABBAAAAAAABAAAABAAAABBABAAAAABAABAAAAAABAAAAAAAAAAAAAABAABAAAABAAAAAAAAAAAABBAABAAAAA
49,LSTM,2,30,1,ABAABBABBBBBBABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBB,BABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBBABAABBABBBBBBABBBABBAABBBBBAAAABBAB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,1,199938,0.199938,60.025331258773804,54,1.111580208495811,209.18310546875,0.04493903865416845,1.0,0.0,0.0,BABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBBABAABBABBBBBBABBBABBAABBBBBAAAABBAB
57,Transformer,2,30,1,ABAABBABBBBBBABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBB,BABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBBABAABBABBBBBBABBBABBAABBBBBAAAABBAB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,1,3688706,3.688706,25.91693353652954,17,1.5245255021487965,1308.1015625,0.011360798651973406,1.0,0.0,0.0,BABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBBABAABBABBBBBBABBBABBAABBBBBAAAABBAB
65,LSTM,2,50,0,BABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBABAABBAABBBBBBABBBBAABBBAAAABABAABBBAAABBBAABAAAAABBABAAABBBAAAABBBAAAABBBBABBBABAABBBBBBABA,BBBABBBABAABBBBBBABABABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBA,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,1,199938,0.199938,64.93646597862244,59,1.1006180674342785,209.18310546875,0.05000578115383784,0.9939393939393939,0.0,0.0,BBBABBBABAABBBBBBABABABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBA
73,Transformer,2,50,0,BABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBABAABBAABBBBBBABBBBAABBBAAAABABAABBBAAABBBAABAAAAABBABAAABBBAAAABBBAAAABBBBABBBABAABBBBBBABA,BBBABBBABAABBBBBBABABABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBA,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,1,3688706,3.688706,74.23638534545898,49,1.5150282723563058,1308.1015625,0.6657599608103434,0.6060606060606061,0.37,0.1763703703703704,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBA
