config_index,model,symbols,complexity,seed_index,seed_string,target_string,sequence_length,window_size,forecast_horizon,layers,units,d_model,optimizer,learning_rate,weight_decay,batch_size,run,model_params,model_size_m,train_time,epochs,time_per_epoch,memory_mb,test_loss,test_accuracy,DL,JW,forecast
5,minGRU,2,10,0,BAABABABBBABBBBAAB,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,1,66434,0.066434,6.831874370574951,60,0.11386457284291586,192.01953125,0.0479728231827418,1.0,0.0,0.0,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB
13,Performer,2,10,0,BAABABABBBABBBBAAB,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,1,1580802,1.580802,35.01426935195923,5,7.002853870391846,3778.00634765625,0.025774458423256874,1.0,0.0,0.0,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB
21,minGRU,2,10,1,BABBBBABBBAABBBBB,BABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,1,66434,0.066434,9.000186204910278,84,0.1071450738679795,191.9853515625,0.04348769038915634,1.0,0.0,0.0,BABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBB
29,Performer,2,10,1,BABBBBABBBAABBBBB,BABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,1,1580802,1.580802,35.02514338493347,5,7.0050286769866945,3778.00634765625,0.0004885703189453731,1.0,0.0,0.0,BABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBB
37,minGRU,2,30,0,BAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABBAAABBAABABBABABAABBABABABB,AAAAABAABBAABAAABBAAABBAABABBABABAABBABABABBBAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,1,66434,0.066434,17.988142728805542,169,0.10643871437163042,191.9853515625,0.23760574559370676,0.9,0.22,0.061484536082474284,AAAABAAABBAAABBAABAABBAABBAABBABABABABBBAABAAABAABAAABBAABBAABBABABBBAABAAABAAABBAABAABBABBBBAABAAAA
45,Performer,2,30,0,BAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABBAAABBAABABBABABAABBABABABB,AAAAABAABBAABAAABBAAABBAABABBABABAABBABABABBBAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,1,1580802,1.580802,40.15671133995056,6,6.692785223325093,3778.00634765625,0.015739646429816883,1.0,0.0,0.0,AAAAABAABBAABAAABBAAABBAABABBABABAABBABABABBBAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABB
53,minGRU,2,30,1,ABAABBABBBBBBABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBB,BABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBBABAABBABBBBBBABBBABBAABBBBBAAAABBAB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,1,66434,0.066434,21.29234766960144,200,0.1064617383480072,191.9853515625,0.32097846269607544,0.9090909090909091,0.22,0.10212500000000002,BBABBBBABBBAABBBAAAABBABBABAAABABABBABBAAABAABABABBABAABBABAABBAABBABAABBAABBBBBBBBBBBBBBBBBBABBBBBA
61,Performer,2,30,1,ABAABBABBBBBBABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBB,BABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBBABAABBABBBBBBABBBABBAABBBBBAAAABBAB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,1,1580802,1.580802,28.622589349746704,4,7.155647337436676,3778.00634765625,8.658656345990796e-05,1.0,0.0,0.0,BABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBBABAABBABBBBBBABBBABBAABBBBBAAAABBAB
69,minGRU,2,50,0,BABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBABAABBAABBBBBBABBBBAABBBAAAABABAABBBAAABBBAABAAAAABBABAAABBBAAAABBBAAAABBBBABBBABAABBBBBBABA,BBBABBBABAABBBBBBABABABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBA,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,1,66434,0.066434,21.26992416381836,200,0.1063496208190918,191.9853515625,0.45807089408238727,0.806060606060606,0.34,0.09964912280701754,BBAAAABBBAAAABBBAAAABBBAAAABBBAAAABBBAAAABBBAAAABBBBBBBBBABBBABABBABABABAABBBBBBBABBABBABBABABBBABAB
77,Performer,2,50,0,BABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBABAABBAABBBBBBABBBBAABBBAAAABABAABBBAAABBBAABAAAAABBABAAABBBAAAABBBAAAABBBBABBBABAABBBBBBABA,BBBABBBABAABBBBBBABABABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBA,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,1,1580802,1.580802,117.53564095497131,20,5.8767820477485655,3778.00634765625,0.45621095101038617,0.803030303030303,0.25,0.05008247422680412,BBBBBBBBABABBBBBBABBABABABABBBBBBBAAABABBBBABABBBAAABBBBBBBBAAAABABAAAAAAABAABABBBBBBBAAABABBBBBBBBB
85,minGRU,2,50,1,ABBAABABBAABBBBBBAABAAABABBBBBBAABBABBBBABABAAABAAAAAAAAAABBAABBABABBBAABABBBABAAAAABBBBBBABBAAABBBBAABABBBAAABAAABBAABAABABBAABBAABBABABBAABBBBABBABABAAAAABABAB,BAAABABBBBBBAABBABBBBABABAAABAAAAAAAAAABBAABBABABBBAABABBBABAAAAABBBBBBABBAAABBBBAABABBBAAABAAABBAAB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,1,66434,0.066434,12.584664344787598,120,0.10487220287322999,191.9853515625,0.5755533973375956,0.6818181818181818,0.27,0.08999999999999997,BBAAAAAABBBBBBBAABBBBBAABAAAAAAAAAAAAABBABABBBBBBAABBBBBAABAAAAAAAAAABBABABBBBBBAABBBBAABAAAAAAAAAAB
93,Performer,2,50,1,ABBAABABBAABBBBBBAABAAABABBBBBBAABBABBBBABABAAABAAAAAAAAAABBAABBABABBBAABABBBABAAAAABBBBBBABBAAABBBBAABABBBAAABAAABBAABAABABBAABBAABBABABBAABBBBABBABABAAAAABABAB,BAAABABBBBBBAABBABBBBABABAAABAAAAAAAAAABBAABBABABBBAABABBBABAAAAABBBBBBABBAAABBBBAABABBBAAABAAABBAAB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,1,1580802,1.580802,114.73861312866211,19,6.0388743751927425,3778.00634765625,0.4410988390445709,0.7787878787878788,0.24,0.05920538720538715,BABABBBBBBABABAABABABABBABAAAAAAAAAAAABABABABABABABABBBBABABABBBBBBBBBABAAAAABABBBAABBAAAAAAABBABABA
101,minGRU,2,70,0,ABAABABAAAABABAABAAABBBAABAAAABBABBABBBBBAABBAAAABABABABABAABBBBAAABBBBAAABAAAAAABBBBBABBBAAAAAABBBBAAABBAABAABBBABBAAABBABABAAABABAABBBAABBBABABABAAAABBBBABBBBBABBBBAABABAAABABBAAABABABAAABBABBABABAAAABBBBABAABABAAABBBBBABABAABAAABABBBBBAABBBBABAAAABBABAABAAAAAA,ABAAAABBABAABAAAAAAABAABABAAAABABAABAAABBBAABAAAABBABBABBBBBAABBAAAABABABABABAABBBBAAABBBBAAABAAAAAA,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,1,66434,0.066434,21.177902460098267,200,0.10588951230049133,191.9853515625,0.6103552182515463,0.6545454545454545,0.33,0.1887469879518071,AAABBBBABAAABBBBABABAAABBBBABABAAABBBBABABAAABBBBABBBBABAAABBBBABABAAABBBBABABAAABBBBABBBBABAAABBBBA
109,Performer,2,70,0,ABAABABAAAABABAABAAABBBAABAAAABBABBABBBBBAABBAAAABABABABABAABBBBAAABBBBAAABAAAAAABBBBBABBBAAAAAABBBBAAABBAABAABBBABBAAABBABABAAABABAABBBAABBBABABABAAAABBBBABBBBBABBBBAABABAAABABBAAABABABAAABBABBABABAAAABBBBABAABABAAABBBBBABABAABAAABABBBBBAABBBBABAAAABBABAABAAAAAA,ABAAAABBABAABAAAAAAABAABABAAAABABAABAAABBBAABAAAABBABBABBBBBAABBAAAABABABABABAABBBBAAABBBBAAABAAAAAA,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,1,1580802,1.580802,252.31010341644287,43,5.867676823638206,3778.00634765625,0.4964478214581807,0.7606060606060606,0.22,0.05804255319148943,ABAAABABABBABABAABABAAABABAAAABBAAABABBBABAABAAABBBBABABBBBAABABAABABAABBBABABABAABAAABBBBAABAAABABA
