config_index,model,symbols,complexity,seed_index,seed_string,target_string,sequence_length,window_size,forecast_horizon,layers,units,d_model,optimizer,learning_rate,weight_decay,batch_size,run,model_params,model_size_m,train_time,epochs,time_per_epoch,memory_mb,test_loss,test_accuracy,DL,JW,forecast
6,minLSTM,2,10,0,BAABABABBBABBBBAAB,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,0,99970,0.09997,106.2883620262146,40,2.657209050655365,126.5419921875,0.04512948418656985,1.0,0.0,0.0,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB
14,RWKV,2,10,0,BAABABABBBABBBBAAB,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,0,1583362,1.583362,15.626651287078857,10,1.5626651287078857,652.169921875,0.04824060698350271,1.0,0.0,0.0,ABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABABBBABBBBAABBAABABAB
22,minLSTM,2,10,1,BABBBBABBBAABBBBB,BABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,0,99970,0.09997,142.39866948127747,54,2.6370123978014344,126.5419921875,0.1247848595182101,0.9393939393939394,0.13,0.038612244897959114,BABBBBABBBABBBBABBBABBBBABBBABBBBABBBABBBBABBBABBBBABBBABBBBABBBABBBBABBBABBBBABBBABBBBABBBABBBBABBB
30,RWKV,2,10,1,BABBBBABBBAABBBBB,BABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,0,1583362,1.583362,19.942893981933594,13,1.5340687678410456,652.169921875,0.025484175110856693,1.0,0.0,0.0,BABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBBBBBABBBBABBBAABBB
38,minLSTM,2,30,0,BAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABBAAABBAABABBABABAABBABABABB,AAAAABAABBAABAAABBAAABBAABABBABABAABBABABABBBAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,0,99970,0.09997,519.1080667972565,200,2.5955403339862824,126.5419921875,0.1996316909790039,0.9363636363636364,0.17,0.05248484848484858,AAAAABBAAABAABBAABAABBAABBABABAABBABABAABBABBBAABAAABAAABAAABBAABBABBBBAABAAAABAAAAABAABBAAABAABBAAB
46,RWKV,2,30,0,BAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABBAAABBAABABBABABAABBABABABB,AAAAABAABBAABAAABBAAABBAABABBABABAABBABABABBBAABAAABAABAAAABBAABBABBBBAABAAAABAAABAAAAABAABBAABAAABB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,0,1583362,1.583362,102.36833143234253,70,1.4624047347477505,652.169921875,0.0471995510160923,0.9848484848484849,0.06,0.01410101010101017,AAAAABAABBAABAAABBAAABBAABABBABABAABBABABABBBAABAAABAABAAAABBAABBABBBBAABAAAABAAAABAAABAAAAABAABBAAB
54,minLSTM,2,30,1,ABAABBABBBBBBABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBB,BABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBBABAABBABBBBBBABBBABBAABBBBBAAAABBAB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,0,99970,0.09997,519.3406040668488,200,2.596703020334244,126.5419921875,0.3006441096464793,0.8696969696969697,0.22,0.06808333333333327,BABBBABBABBAABBABBAAABAABBABBAAABABABBABAABAABBABBABAABABBABBABAABBABBABBAABBABBABAABABBABBAABAABBAB
62,RWKV,2,30,1,ABAABBABBBBBBABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBB,BABBBABBAABBBBBAAAABBABBABAAABABABBABABAABAABAABBABBBAAABBAABBBBBABAABBABBBBBBABBBABBAABBBBBAAAABBAB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,0,1583362,1.583362,58.87317681312561,40,1.4718294203281403,652.169921875,0.045049610237280525,0.9878787878787879,0.19,0.07995505617977527,BABBBABBAABBBBBABAABBABBBBBBABBBABBAABBBBBABAABBABBBBBBABBBABBAABBBBBABAABBABBBBBBABBBABBAABBBBBABAA
70,minLSTM,2,50,0,BABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBABAABBAABBBBBBABBBBAABBBAAAABABAABBBAAABBBAABAAAAABBABAAABBBAAAABBBAAAABBBBABBBABAABBBBBBABA,BBBABBBABAABBBBBBABABABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBA,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,0,99970,0.09997,519.2034237384796,200,2.596017118692398,126.5419921875,0.4140115777651469,0.8272727272727273,0.32,0.17079674796747968,BBAAAABBBAAAABBBAAAABBBAAAABBBAAAABBBAAAABBBAAAABBBAAAABBBAAAABBBAAAABBBAAAABBBAAAABBBAAAABBBAAAABBB
78,RWKV,2,50,0,BABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBABAABBAABBBBBBABBBBAABBBAAAABABAABBBAAABBBAABAAAAABBABAAABBBAAAABBBAAAABBBBABBBABAABBBBBBABA,BBBABBBABAABBBBBBABABABABAABBBBBBBBAABABBBBABABBABABABBBBBAAABAABABBBBBABBBABBABBABBBAAAABABBAAAABBA,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,0,1583362,1.583362,142.67650628089905,98,1.455882717152031,652.169921875,0.05140799035628637,0.9818181818181818,0.32,0.05529896907216503,BBBABBBABAABBBBBBABBBBAABBBAAAABABBAAAABBABAABBAABBBBBBABBBBAABBBAAAABABBAAAABBABAABBAABBBBBBABBBBAA
86,minLSTM,2,50,1,ABBAABABBAABBBBBBAABAAABABBBBBBAABBABBBBABABAAABAAAAAAAAAABBAABBABABBBAABABBBABAAAAABBBBBBABBAAABBBBAABABBBAAABAAABBAABAABABBAABBAABBABABBAABBBBABBABABAAAAABABAB,BAAABABBBBBBAABBABBBBABABAAABAAAAAAAAAABBAABBABABBBAABABBBABAAAAABBBBBBABBAAABBBBAABABBBAAABAAABBAAB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,0,99970,0.09997,519.7719421386719,200,2.5988597106933593,126.5419921875,0.5694186687469482,0.6757575757575758,0.3,0.06767010309278354,BAAAAAAAAABBBBBABABBBAABBBBBAABAAAAAAAAAAABBBBABABBABABBAABBABABBAABABBBAABABAAAAAAAABBBABBABABBABAB
94,RWKV,2,50,1,ABBAABABBAABBBBBBAABAAABABBBBBBAABBABBBBABABAAABAAAAAAAAAABBAABBABABBBAABABBBABAAAAABBBBBBABBAAABBBBAABABBBAAABAAABBAABAABABBAABBAABBABABBAABBBBABBABABAAAAABABAB,BAAABABBBBBBAABBABBBBABABAAABAAAAAAAAAABBAABBABABBBAABABBBABAAAAABBBBBBABBAAABBBBAABABBBAAABAAABBAAB,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,0,1583362,1.583362,154.72671818733215,106,1.459686020635209,652.169921875,0.05218775322039922,0.9848484848484849,0.0,0.0,BAAABABBBBBBAABBABBBBABABAAABAAAAAAAAAABBAABBABABBBAABABBBABAAAAABBBBBBABBAAABBBBAABABBBAAABAAABBAAB
102,minLSTM,2,70,0,ABAABABAAAABABAABAAABBBAABAAAABBABBABBBBBAABBAAAABABABABABAABBBBAAABBBBAAABAAAAAABBBBBABBBAAAAAABBBBAAABBAABAABBBABBAAABBABABAAABABAABBBAABBBABABABAAAABBBBABBBBBABBBBAABABAAABABBAAABABABAAABBABBABABAAAABBBBABAABABAAABBBBBABABAABAAABABBBBBAABBBBABAAAABBABAABAAAAAA,ABAAAABBABAABAAAAAAABAABABAAAABABAABAAABBBAABAAAABBABBABBBBBAABBAAAABABABABABAABBBBAAABBBBAAABAAAAAA,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,0,99970,0.09997,100.47930598258972,38,2.6441922626997294,126.5419921875,0.6647854248682658,0.5606060606060606,0.27,0.10329032258064508,AABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABAABA
110,RWKV,2,70,0,ABAABABAAAABABAABAAABBBAABAAAABBABBABBBBBAABBAAAABABABABABAABBBBAAABBBBAAABAAAAAABBBBBABBBAAAAAABBBBAAABBAABAABBBABBAAABBABABAAABABAABBBAABBBABABABAAAABBBBABBBBBABBBBAABABAAABABBAAABABABAAABBABBABABAAAABBBBABAABABAAABBBBBABABAABAAABABBBBBAABBBBABAAAABBABAABAAAAAA,ABAAAABBABAABAAAAAAABAABABAAAABABAABAAABBBAABAAAABBABBABBBBBAABBAAAABABABABABAABBBBAAABBBBAAABAAAAAA,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,0,1583362,1.583362,190.51434206962585,131,1.4543079547299684,652.169921875,0.059663645923137665,0.9636363636363636,0.23,0.03657142857142859,ABAAAABBABAABAAAAAAABAABABAAABBBBBABABAABAAABABBBBBAABBBBABAAAABBABAABAAAAAAABAABABAAABBBBBABABAABAA
118,minLSTM,2,70,1,BABBBABBBBABABBBABAABAAABBAAABBBABBAABAAAAAAAABAABBAABABABAABBAABBABBBABBBBAAABBBBBBBABAAABBBBBAABABABABAABABABBABBABBABABAAAABBABAAABBBBABBBAAAABAABBABAAABAAABBBAABBBAABBAAABBAAAAABBAAABAAABBABABAAAAAABAAAABAABBBAAABBABBAAAABAAAABABAABBBBAAAABAAAABAAB,AABBABAAABBBBABBBAAAABAABBABAAABAAABBBAABBBAABBAAABBAAAAABBAAABAAABBABABAAAAAABAAAABAABBBAAABBABBAAA,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,0,99970,0.09997,33.3121554851532,12,2.7760129570961,126.5419921875,0.6958516240119934,0.5121212121212121,0.41,0.2186666666666668,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
126,RWKV,2,70,1,BABBBABBBBABABBBABAABAAABBAAABBBABBAABAAAAAAAABAABBAABABABAABBAABBABBBABBBBAAABBBBBBBABAAABBBBBAABABABABAABABABBABBABBABABAAAABBABAAABBBBABBBAAAABAABBABAAABAAABBBAABBBAABBAAABBAAAAABBAAABAAABBABABAAAAAABAAAABAABBBAAABBABBAAAABAAAABABAABBBBAAAABAAAABAAB,AABBABAAABBBBABBBAAAABAABBABAAABAAABBBAABBBAABBAAABBAAAAABBAAABAAABBABABAAAAAABAAAABAABBBAAABBABBAAA,3500,100,100,2,1024,256,AdamW,0.0003,0.01,128,0,1583362,1.583362,202.45827627182007,139,1.4565343616677702,652.169921875,0.06656179080406825,0.9666666666666667,0.18,0.06391666666666673,AABBABAAABBBBABBBAAAABAAAABAABBABBBABBBBABABBBABAABAAABBAAABBBABBAABAAAAAAABAAAABAABBBAAABBABBAAAABA
134,minLSTM,2,90,0,ABBBBAAABAAABAABABABBBAABAABAAABBBBBBBABABABABBABAABBBABAABAABBABBABABAABBAABAAAAAAAAABBBAABABBAAABAABBBAAAAAABABABABBABBBAAABBAAAABAABBABBBBAABBAAAABBABBBAABABABBBAABABAABABBBBBABAAAAABAAABBBBBBABAAAABBABBBAAABBBBAAABBAAAAAABBABAAAABAABABBBABABBBAABBAAABBBBAABAABAAAABAABBBABBBBAAABAAABABABAAAAABABABBBBAAAABBABABBABABBBAABAAABAABABBAAABBABABAAABBBAAAAABBBBB,AABABBBBBABAAAAABAAABBBBBBABAAAABBABBBAAABBBBAAABBAAAAAABBABAAAABAABABBBABABBBAABBAAABBBBAABAABAAAAB,3500,100,100,2,128,256,AdamW,0.0003,0.01,128,0,99970,0.09997,519.569372177124,200,2.5978468608856202,126.5419921875,0.6410665710767111,0.5848484848484848,0.3,0.0671836734693878,AABABBBAAABABBBAAABABBBAAABABBBAAABABBBAAABABBBAAABABBBAAABABBBAAABABBBAAABABBBAAABABBBAAABABBBAAABA
