Metric1,Metric2,Spearman_Corr,p_value
DL,train_time,-0.04313156908645069,0.009647899115830609
JW,train_time,-0.46137590480104496,2.8133752510355037e-189
DL,memory,0.40334434007606335,6.210384202309334e-141
model_size,epochs,-0.3323250418291378,1.471215334375366e-93
test_accuracy,train_time,-0.054982724221847676,0.000965765858153585
JW,test_accuracy,-0.19861010378334867,2.397182149556887e-33
