symbols,complexity,sequence_length,learning_rate,layers,units,run,model,train_time,DL,JW,epochs,memory,model_size,time_per_epoch,test_loss,test_accuracy
6,150,3500,0.001,1,128,0,LSTM,26.098965406417847,0.62,0.15631578947368419,94,25.1318359375,0.070406,0.27764856815338135,0.39378733932971954,0.9090909090909091
6,150,3500,0.001,1,128,0,GRU,24.950489282608032,0.69,0.20154545454545458,87,24.8662109375,0.052998,0.28678723313342563,0.07971076667308807,0.996969696969697
6,150,3500,0.001,1,128,0,xLSTM,36.439719676971436,0.67,0.16213043478260858,21,25.4833984375,0.093446,1.7352247465224493,0.07434632256627083,0.990909090909091
6,150,3500,0.001,1,128,0,Transformer,2.5509755611419678,0.82,0.5466666666666666,2,76.86767578125,3.429126,1.2754877805709839,0.017555169761180878,1.0
6,150,3500,0.001,1,128,0,BERT,14.107022523880005,0.69,0.20558620689655183,32,106.8857421875,17.345158,0.44084445387125015,0.10672657191753387,0.9757575757575757
6,150,3500,0.001,1,128,0,GPT,74.41433954238892,0.69,0.20154545454545458,97,58.5283203125,2.242694,0.7671581396122569,0.0795176662504673,1.0
6,150,3500,0.001,1,128,1,LSTM,25.462533473968506,0.69,0.20154545454545458,93,25.1318359375,0.070406,0.27379068251579036,0.11024461686611176,1.0
6,150,3500,0.001,1,128,1,GRU,28.840337991714478,0.69,0.20154545454545458,100,24.8662109375,0.052998,0.28840337991714476,0.08809492364525795,1.0
6,150,3500,0.001,1,128,1,xLSTM,38.196613073349,0.69,0.20154545454545458,22,25.4833984375,0.093446,1.7362096851522273,0.09669320657849312,1.0
6,150,3500,0.001,1,128,1,Transformer,2.550349473953247,0.82,0.5466666666666666,2,76.86767578125,3.429126,1.2751747369766235,0.010804097633808851,1.0
6,150,3500,0.001,1,128,1,BERT,13.911181688308716,0.69,0.20154545454545458,32,106.9521484375,17.345158,0.43472442775964737,0.06711604073643684,0.9878787878787879
6,150,3500,0.001,1,128,1,GPT,70.49757432937622,0.64,0.21742857142857153,92,58.5947265625,2.242694,0.7662779818410459,0.08418895676732063,0.990909090909091
6,150,3500,0.001,1,128,2,LSTM,23.53914523124695,0.69,0.20154545454545458,85,25.1318359375,0.070406,0.27693112036761114,0.09727507457137108,1.0
6,150,3500,0.001,1,128,2,GRU,26.70132827758789,0.69,0.20154545454545458,92,24.8662109375,0.052998,0.2902318291042162,0.08246265724301338,1.0
6,150,3500,0.001,1,128,2,xLSTM,38.27300453186035,0.69,0.20154545454545458,22,25.4833984375,0.093446,1.7396820241754705,0.10098366066813469,1.0
6,150,3500,0.001,1,128,2,Transformer,2.5515196323394775,0.82,0.5466666666666666,2,76.86767578125,3.429126,1.2757598161697388,0.004865018418058753,1.0
6,150,3500,0.001,1,128,2,BERT,13.914090871810913,0.69,0.20154545454545458,32,106.9521484375,17.345158,0.43481533974409103,0.08531910553574562,0.9939393939393939
6,150,3500,0.001,1,128,2,GPT,66.13401365280151,0.69,0.19408988764044932,86,58.5283203125,2.242694,0.769000158753506,0.08049448952078819,0.996969696969697
