symbols,complexity,sequence_length,learning_rate,layers,units,run,model,train_time,DL,JW,epochs,memory,model_size,time_per_epoch,test_loss,test_accuracy
2,130,3500,0.001,1,128,0,LSTM,19.751906156539917,0.49,0.32666666666666666,63,19.95947265625,0.067842,0.31352231994507807,0.6956703662872314,0.48484848484848486
2,130,3500,0.001,1,128,0,GRU,31.63983988761902,0.46,0.3185310734463277,97,19.63525390625,0.050946,0.3261839163672064,0.6305036842823029,0.6242424242424243
2,130,3500,0.001,1,128,0,xLSTM,29.791824340820312,0.51,0.30599999999999994,15,20.26806640625,0.092418,1.986121622721354,0.6792670488357544,0.5727272727272728
2,130,3500,0.001,1,128,0,Transformer,3.7978954315185547,0.51,0.30599999999999994,3,71.49267578125,3.425026,1.2659651438395183,0.0032403668155893683,1.0
2,130,3500,0.001,1,128,0,BERT,6.960253715515137,0.02,0.07799999999999985,16,101.68994140625,17.341058,0.43501585721969604,0.6960697174072266,0.47575757575757577
2,130,3500,0.001,1,128,0,GPT,13.817100286483765,0.51,0.30599999999999994,18,53.08251953125,2.238594,0.7676166825824313,0.692300409078598,0.5454545454545454
2,130,3500,0.001,1,128,1,LSTM,8.22713303565979,0.51,0.30599999999999994,26,19.95947265625,0.067842,0.3164281936792227,0.6771894991397858,0.5787878787878787
2,130,3500,0.001,1,128,1,GRU,9.706197738647461,0.42,0.27142857142857146,30,19.70166015625,0.050946,0.32353992462158204,0.6727167963981628,0.5727272727272728
2,130,3500,0.001,1,128,1,xLSTM,158.70144295692444,0.42,0.16333333333333344,79,20.26806640625,0.092418,2.0088790247711956,0.08093585632741451,0.9818181818181818
2,130,3500,0.001,1,128,1,Transformer,1.2999062538146973,0.49,0.32666666666666666,1,71.49267578125,3.425026,1.2999062538146973,0.05881277471780777,1.0
2,130,3500,0.001,1,128,1,BERT,7.396725416183472,0.33,0.25991304347826105,17,101.68994140625,17.341058,0.435101495069616,0.6897290647029877,0.5454545454545454
2,130,3500,0.001,1,128,1,GPT,24.591851949691772,0.51,0.30599999999999994,32,53.08251953125,2.238594,0.7684953734278679,0.6911351680755615,0.5454545454545454
2,130,3500,0.001,1,128,2,LSTM,49.486390352249146,0.37,0.09420875420875419,171,19.89306640625,0.067842,0.289394095627188,0.5298644006252289,0.7393939393939394
2,130,3500,0.001,1,128,2,GRU,48.73330044746399,0.34,0.12807017543859656,152,19.63525390625,0.050946,0.32061381873331574,0.07041388750076294,0.9878787878787879
2,130,3500,0.001,1,128,2,xLSTM,27.668425798416138,0.29,0.09757575757575765,14,20.26806640625,0.092418,1.9763161284582955,0.6845481097698212,0.5757575757575758
2,130,3500,0.001,1,128,2,Transformer,1.302699327468872,0.29,0.09757575757575765,1,71.49267578125,3.425026,1.302699327468872,0.0025312499492429197,0.996969696969697
2,130,3500,0.001,1,128,2,BERT,5.660474538803101,0.33,0.2696491228070176,13,101.68994140625,17.341058,0.4354211183694693,0.6963474154472351,0.45454545454545453
2,130,3500,0.001,1,128,2,GPT,16.973175048828125,0.51,0.30599999999999994,22,53.08251953125,2.238594,0.7715079567649148,0.6911156475543976,0.5454545454545454
2,130,3500,0.001,1,128,3,LSTM,9.090157985687256,0.5,0.2944444444444444,29,19.95947265625,0.067842,0.3134537236443881,0.6702066361904144,0.5727272727272728
2,130,3500,0.001,1,128,3,GRU,7.800522565841675,0.37,0.15947565543071163,24,19.70166015625,0.050946,0.32502177357673645,0.6676274836063385,0.593939393939394
2,130,3500,0.001,1,128,3,xLSTM,164.72074961662292,0.3,0.09560137457044682,83,20.26806640625,0.092418,1.9845873447785896,0.10372023656964302,0.9515151515151515
2,130,3500,0.001,1,128,3,Transformer,2.5534377098083496,0.51,0.30599999999999994,2,71.49267578125,3.425026,1.2767188549041748,0.002226861659437418,1.0
2,130,3500,0.001,1,128,3,BERT,7.845655679702759,0.06,0.09899999999999998,18,101.68994140625,17.341058,0.4358697599834866,0.693620502948761,0.48484848484848486
2,130,3500,0.001,1,128,3,GPT,19.173171043395996,0.49,0.32666666666666666,25,53.08251953125,2.238594,0.7669268417358398,0.6965316832065582,0.45454545454545453
2,130,3500,0.001,1,128,4,LSTM,32.50445079803467,0.5,0.2846153846153846,103,19.95947265625,0.067842,0.3155771922139288,0.6362206935882568,0.6333333333333333
2,130,3500,0.001,1,128,4,GRU,29.53712248802185,0.48,0.3037777777777778,92,19.70166015625,0.050946,0.3210556792176288,0.6769786775112152,0.5484848484848485
2,130,3500,0.001,1,128,4,xLSTM,157.95601868629456,0.33,0.12807017543859656,78,20.26806640625,0.092418,2.025077162644802,0.07129826955497265,0.9787878787878788
2,130,3500,0.001,1,128,4,Transformer,2.549164295196533,0.51,0.30599999999999994,2,71.49267578125,3.425026,1.2745821475982666,0.0026197036495432258,1.0
2,130,3500,0.001,1,128,4,BERT,6.96275520324707,0.09,0.11619354838709672,16,101.68994140625,17.341058,0.4351722002029419,0.6919966638088226,0.5272727272727272
2,130,3500,0.001,1,128,4,GPT,17.72897958755493,0.49,0.32666666666666666,23,53.08251953125,2.238594,0.77082519945891,0.7020095586776733,0.45454545454545453
2,130,3500,0.0001,1,128,0,LSTM,23.02345633506775,0.51,0.30599999999999994,72,19.89306640625,0.067842,0.319770226875941,0.6792341470718384,0.5757575757575758
2,130,3500,0.0001,1,128,0,GRU,27.819791078567505,0.51,0.30599999999999994,87,19.63525390625,0.050946,0.31976771354675293,0.6811429858207703,0.5757575757575758
2,130,3500,0.0001,1,128,0,xLSTM,33.51268029212952,0.51,0.30599999999999994,17,20.26806640625,0.092418,1.971334134831148,0.6845070421695709,0.5454545454545454
2,130,3500,0.0001,1,128,0,Transformer,1.2991700172424316,0.51,0.30599999999999994,1,71.49267578125,3.425026,1.2991700172424316,0.03630843572318554,1.0
2,130,3500,0.0001,1,128,0,BERT,6.095985174179077,0.29,0.24419178082191784,14,101.68994140625,17.341058,0.43542751244136263,0.6896156370639801,0.5454545454545454
2,130,3500,0.0001,1,128,0,GPT,36.8393337726593,0.51,0.30599999999999994,48,53.08251953125,2.238594,0.7674861202637354,0.688394159078598,0.5454545454545454
2,130,3500,0.0001,1,128,1,LSTM,19.988508939743042,0.51,0.30599999999999994,62,19.89306640625,0.067842,0.3223953054797265,0.6791980862617493,0.5757575757575758
2,130,3500,0.0001,1,128,1,GRU,30.736642837524414,0.51,0.30599999999999994,95,19.63525390625,0.050946,0.3235436088160465,0.6804301738739014,0.5636363636363636
2,130,3500,0.0001,1,128,1,xLSTM,38.203338861465454,0.51,0.30599999999999994,19,20.26806640625,0.092418,2.010702045340287,0.6829405128955841,0.5454545454545454
2,130,3500,0.0001,1,128,1,Transformer,1.2990121841430664,0.51,0.30599999999999994,1,71.49267578125,3.425026,1.2990121841430664,0.0031241802498698235,1.0
2,130,3500,0.0001,1,128,1,BERT,6.09560751914978,0.21,0.19177777777777782,14,101.68994140625,17.341058,0.43540053708212717,0.6893861293792725,0.5454545454545454
2,130,3500,0.0001,1,128,1,GPT,59.36034321784973,0.51,0.30599999999999994,77,53.01611328125,2.238594,0.7709135482837628,0.6818656921386719,0.5878787878787879
2,130,3500,0.0001,1,128,2,LSTM,23.305883169174194,0.51,0.30599999999999994,74,19.89306640625,0.067842,0.3149443671510026,0.6910943388938904,0.5606060606060606
2,130,3500,0.0001,1,128,2,GRU,27.87459111213684,0.51,0.30599999999999994,86,19.63525390625,0.050946,0.3241231524667075,0.6834509968757629,0.5787878787878787
2,130,3500,0.0001,1,128,2,xLSTM,40.946693420410156,0.51,0.30599999999999994,20,20.26806640625,0.092418,2.047334671020508,0.6831200420856476,0.5696969696969697
2,130,3500,0.0001,1,128,2,Transformer,1.299163579940796,0.49,0.3053076923076923,1,71.49267578125,3.425026,1.299163579940796,0.010655221529304981,1.0
2,130,3500,0.0001,1,128,2,BERT,5.234730005264282,0.51,0.30599999999999994,12,101.68994140625,17.341058,0.4362275004386902,0.6898671090602875,0.5454545454545454
2,130,3500,0.0001,1,128,2,GPT,37.14281463623047,0.51,0.30599999999999994,48,53.01611328125,2.238594,0.7738086382548014,0.6886825263500214,0.5515151515151515
2,130,3500,0.0001,1,128,3,LSTM,19.639561653137207,0.51,0.30599999999999994,62,19.89306640625,0.067842,0.31676712343769686,0.6801829040050507,0.5666666666666667
2,130,3500,0.0001,1,128,3,GRU,28.626949787139893,0.51,0.30599999999999994,88,19.63525390625,0.050946,0.32530624758113513,0.6820342242717743,0.5757575757575758
2,130,3500,0.0001,1,128,3,xLSTM,42.327622413635254,0.51,0.30599999999999994,21,20.26806640625,0.092418,2.0156010673159646,0.6841490566730499,0.5454545454545454
2,130,3500,0.0001,1,128,3,Transformer,1.2988307476043701,0.44,0.29090322580645167,1,71.49267578125,3.425026,1.2988307476043701,0.025183281861245632,1.0
2,130,3500,0.0001,1,128,3,BERT,7.832640886306763,0.15,0.15041379310344827,18,101.68994140625,17.341058,0.43514671590593124,0.6896387040615082,0.5454545454545454
2,130,3500,0.0001,1,128,3,GPT,63.83026695251465,0.51,0.30599999999999994,83,53.01611328125,2.238594,0.7690393608736704,0.6823657751083374,0.5454545454545454
2,130,3500,0.0001,1,128,4,LSTM,44.74025225639343,0.51,0.30599999999999994,141,19.89306640625,0.067842,0.3173067535914428,0.6760054528713226,0.5909090909090909
