symbols,complexity,sequence_length,learning_rate,layers,units,run,model,train_time,DL,JW,epochs,memory,model_size,time_per_epoch,test_loss,test_accuracy
8,170,3500,0.001,1,128,0,LSTM,26.591837644577026,0.71,0.22772727272727267,81,28.4873046875,0.071688,0.32829429190835835,0.10326125845313072,1.0
8,170,3500,0.001,1,128,0,GRU,21.30947756767273,0.71,0.22772727272727267,64,28.2177734375,0.054024,0.3329605869948864,0.1128050647675991,0.996969696969697
8,170,3500,0.001,1,128,0,xLSTM,66.20706582069397,0.71,0.22772727272727267,20,28.8271484375,0.09396,3.3103532910346987,0.09037131071090698,0.996969696969697
8,170,3500,0.001,1,128,0,Transformer,2.2583844661712646,0.86,0.4013333333333333,1,80.04150390625,3.431176,2.2583844661712646,0.07802969589829445,1.0
8,170,3500,0.001,1,128,0,BERT,20.851685285568237,0.72,0.23226053639846744,28,110.3193359375,17.347208,0.7447030459131513,0.0895753726363182,0.9848484848484849
8,170,3500,0.001,1,128,0,GPT,76.52681040763855,0.69,0.1991941391941392,57,61.7119140625,2.244744,1.3425756211866413,0.11661729589104652,0.9787878787878788
8,170,3500,0.001,1,128,1,LSTM,24.3345844745636,0.71,0.22772727272727267,74,28.4873046875,0.071688,0.3288457361427513,0.09699786454439163,1.0
8,170,3500,0.001,1,128,1,GRU,23.88671064376831,0.71,0.22772727272727267,72,28.2177734375,0.054024,0.33175987005233765,0.09229571744799614,1.0
8,170,3500,0.001,1,128,1,xLSTM,66.03672933578491,0.72,0.2367441860465117,20,28.8271484375,0.09396,3.3018364667892457,0.0966518372297287,0.990909090909091
8,170,3500,0.001,1,128,1,Transformer,2.253103256225586,0.86,0.4013333333333333,1,80.04150390625,3.431176,2.253103256225586,0.05780482478439808,1.0
8,170,3500,0.001,1,128,1,BERT,21.610620975494385,0.71,0.21565543071161042,29,110.3193359375,17.347208,0.7451938267411857,0.07412545010447502,0.9848484848484849
8,170,3500,0.001,1,128,1,GPT,81.90403199195862,0.68,0.26634146341463405,61,61.7119140625,2.244744,1.342689049048502,0.07458159327507019,0.9939393939393939
