symbols,complexity,sequence_length,learning_rate,layers,units,run,model,train_time,DL,JW,epochs,memory,model_size,time_per_epoch,test_loss,test_accuracy
8,130,3500,0.001,1,128,0,LSTM,22.89805269241333,0.69,0.23609195402298855,70,28.5537109375,0.071688,0.32711503846304757,0.09184133633971214,1.0
8,130,3500,0.001,1,128,0,GRU,16.990535259246826,0.69,0.23609195402298855,50,28.2177734375,0.054024,0.3398107051849365,0.09026019275188446,1.0
8,130,3500,0.001,1,128,0,xLSTM,58.81008195877075,0.69,0.23609195402298855,18,28.8271484375,0.09396,3.267226775487264,0.06821343675255775,1.0
8,130,3500,0.001,1,128,0,Transformer,4.4199090003967285,0.94,0.6266666666666667,2,80.04150390625,3.431176,2.2099545001983643,0.01781409978866577,1.0
8,130,3500,0.001,1,128,0,BERT,15.662443399429321,0.69,0.23609195402298855,21,110.3193359375,17.347208,0.7458306380680629,0.04998881556093693,1.0
8,130,3500,0.001,1,128,0,GPT,49.69003200531006,0.69,0.24449612403100784,37,61.7119140625,2.244744,1.342973837981353,0.1250048726797104,0.9787878787878788
8,130,3500,0.001,1,128,1,LSTM,20.67575240135193,0.69,0.23609195402298855,63,28.5537109375,0.071688,0.32818654605320524,0.098661158233881,1.0
8,130,3500,0.001,1,128,1,GRU,16.69420838356018,0.69,0.23609195402298855,49,28.2177734375,0.054024,0.3406981302767384,0.08635755628347397,1.0
8,130,3500,0.001,1,128,1,xLSTM,60.63909959793091,0.69,0.23609195402298855,18,28.8271484375,0.09396,3.3688388665517173,0.0784943476319313,0.996969696969697
8,130,3500,0.001,1,128,1,Transformer,4.418312311172485,0.94,0.6266666666666667,2,80.04150390625,3.431176,2.2091561555862427,0.008176308358088136,1.0
8,130,3500,0.001,1,128,1,BERT,14.88108777999878,0.69,0.23609195402298855,20,110.3193359375,17.347208,0.7440543889999389,0.02364536002278328,1.0
8,130,3500,0.001,1,128,1,GPT,57.68109726905823,0.69,0.23609195402298855,43,61.7119140625,2.244744,1.3414208667222844,0.10859236121177673,0.9848484848484849
8,130,3500,0.001,1,128,2,LSTM,20.76434850692749,0.69,0.23609195402298855,64,28.5537109375,0.071688,0.32444294542074203,0.16696373373270035,1.0
8,130,3500,0.001,1,128,2,GRU,16.928221464157104,0.69,0.23609195402298855,51,28.2841796875,0.054024,0.331925911061904,0.08138377964496613,1.0
8,130,3500,0.001,1,128,2,xLSTM,60.40569519996643,0.75,0.23226053639846744,18,28.8271484375,0.09396,3.3558719555536904,0.10678764432668686,0.9878787878787879
8,130,3500,0.001,1,128,2,Transformer,2.2614378929138184,0.89,0.5933333333333333,1,80.04150390625,3.431176,2.2614378929138184,0.07668312266469002,1.0
8,130,3500,0.001,1,128,2,BERT,14.205411911010742,0.69,0.23609195402298855,19,110.3193359375,17.347208,0.7476532584742496,0.05140834301710129,1.0
8,130,3500,0.001,1,128,2,GPT,53.715341567993164,0.69,0.23609195402298855,40,61.7119140625,2.244744,1.342883539199829,0.0625879354774952,1.0
8,130,3500,0.001,1,128,3,LSTM,21.739343404769897,0.69,0.23609195402298855,67,28.5537109375,0.071688,0.324467812011491,0.09190285578370094,1.0
8,130,3500,0.001,1,128,3,GRU,19.38961386680603,0.69,0.23609195402298855,58,28.2841796875,0.054024,0.3343036873587247,0.09068591520190239,1.0
8,130,3500,0.001,1,128,3,xLSTM,59.01125144958496,0.69,0.23609195402298855,18,28.8271484375,0.09396,3.2784028583102756,0.06901584565639496,1.0
8,130,3500,0.001,1,128,3,Transformer,6.573028802871704,0.95,0.6966666666666667,3,80.04150390625,3.431176,2.191009600957235,0.002011906704865396,1.0
8,130,3500,0.001,1,128,3,BERT,13.400350570678711,0.7,0.23151515151515145,18,110.3193359375,17.347208,0.7444639205932617,0.052574243396520615,0.9878787878787879
8,130,3500,0.001,1,128,3,GPT,48.38777828216553,0.69,0.2148148148148148,36,61.7119140625,2.244744,1.3441049522823758,0.09274941310286522,0.9818181818181818
8,130,3500,0.001,1,128,4,LSTM,19.58755850791931,0.69,0.23609195402298855,60,28.5537109375,0.071688,0.32645930846532184,0.11780897527933121,1.0
8,130,3500,0.001,1,128,4,GRU,16.174147367477417,0.69,0.23609195402298855,48,28.2841796875,0.054024,0.33696140348911285,0.09437381476163864,1.0
8,130,3500,0.001,1,128,4,xLSTM,63.00769519805908,0.69,0.23609195402298855,19,28.8271484375,0.09396,3.316194484108373,0.07946367934346199,0.990909090909091
8,130,3500,0.001,1,128,4,Transformer,4.385004281997681,0.9,0.6000000000000001,2,80.04150390625,3.431176,2.1925021409988403,0.010439041070640087,1.0
8,130,3500,0.001,1,128,4,BERT,14.184807538986206,0.7,0.23151515151515145,19,110.3193359375,17.347208,0.7465688178413793,0.07756612077355385,0.9939393939393939
8,130,3500,0.001,1,128,4,GPT,65.8508882522583,0.74,0.2148148148148148,49,61.7119140625,2.244744,1.3438956786175162,0.07928816601634026,0.9848484848484849
8,130,3500,0.0001,1,128,0,LSTM,45.84683656692505,0.81,0.34676328502415465,141,28.5537109375,0.071688,0.32515486926897197,1.7629549503326416,0.32727272727272727
8,130,3500,0.0001,1,128,0,GRU,181.10573887825012,0.75,0.26142857142857145,542,28.2177734375,0.054024,0.33414342966466815,0.4709518253803253,0.8606060606060606
8,130,3500,0.0001,1,128,0,xLSTM,468.7632009983063,0.69,0.23609195402298855,141,28.8271484375,0.09396,3.324561709207846,0.09853570535779,1.0
8,130,3500,0.0001,1,128,0,Transformer,4.430867671966553,0.94,0.6266666666666667,2,80.04150390625,3.431176,2.2154338359832764,0.039781479164958,1.0
8,130,3500,0.0001,1,128,0,BERT,57.307432413101196,0.69,0.23609195402298855,77,110.3193359375,17.347208,0.7442523690013142,0.06789006292819977,1.0
8,130,3500,0.0001,1,128,0,GPT,95.34899234771729,0.74,0.2789300411522634,71,61.7119140625,2.244744,1.342943554193201,0.09820760786533356,0.9939393939393939
8,130,3500,0.0001,1,128,1,LSTM,45.004889488220215,0.78,0.21940074906367035,138,28.4873046875,0.071688,0.32612238759579865,1.6697945594787598,0.37575757575757573
8,130,3500,0.0001,1,128,1,GRU,145.1653435230255,0.68,0.21018315018315015,435,28.2177734375,0.054024,0.3337134333862655,0.7459402680397034,0.7636363636363637
8,130,3500,0.0001,1,128,1,xLSTM,453.5980658531189,0.69,0.23609195402298855,137,28.8271484375,0.09396,3.310934787249043,0.07881231606006622,1.0
8,130,3500,0.0001,1,128,1,Transformer,4.400120735168457,0.84,0.5957575757575757,2,80.04150390625,3.431176,2.2000603675842285,0.022168281488120556,1.0
8,130,3500,0.0001,1,128,1,BERT,56.85068106651306,0.69,0.24449612403100784,76,110.2529296875,17.347208,0.7480352771909613,0.0973280593752861,0.990909090909091
8,130,3500,0.0001,1,128,1,GPT,96.6434633731842,0.7,0.2367441860465117,72,61.6455078125,2.244744,1.3422703246275585,0.0922473669052124,0.990909090909091
8,130,3500,0.0001,1,128,2,LSTM,64.93480587005615,0.78,0.31889552238805974,199,28.4873046875,0.071688,0.32630555713596054,1.6598621606826782,0.3696969696969697
8,130,3500,0.0001,1,128,2,GRU,158.59342312812805,0.7,0.28767932489451475,474,28.2177734375,0.054024,0.3345852808610296,0.7558265924453735,0.7666666666666667
8,130,3500,0.0001,1,128,2,xLSTM,462.4798176288605,0.69,0.23609195402298855,139,28.8271484375,0.09396,3.32719293258173,0.09381896257400513,1.0
8,130,3500,0.0001,1,128,2,Transformer,4.3968095779418945,0.93,0.6447619047619046,2,80.04150390625,3.431176,2.1984047889709473,0.019053378142416477,1.0
8,130,3500,0.0001,1,128,2,BERT,50.64648175239563,0.68,0.24062015503875978,68,110.3193359375,17.347208,0.7448012022411122,0.09793217852711678,0.990909090909091
8,130,3500,0.0001,1,128,2,GPT,91.25966906547546,0.71,0.223939393939394,68,61.7119140625,2.244744,1.3420539568452274,0.08507471159100533,0.9848484848484849
8,130,3500,0.0001,1,128,3,LSTM,66.6637761592865,0.73,0.23286821705426364,204,28.4873046875,0.071688,0.3267832164670907,1.5024400353431702,0.4727272727272727
8,130,3500,0.0001,1,128,3,GRU,112.7398829460144,0.72,0.27481481481481485,337,28.2177734375,0.054024,0.3345397120059775,1.2571122646331787,0.5666666666666667
8,130,3500,0.0001,1,128,3,xLSTM,485.40563344955444,0.69,0.23609195402298855,146,28.8271484375,0.09396,3.324696119517496,0.09243180602788925,1.0
8,130,3500,0.0001,1,128,3,Transformer,4.400021314620972,0.94,0.6266666666666667,2,80.04150390625,3.431176,2.200010657310486,0.019679293036460876,1.0
8,130,3500,0.0001,1,128,3,BERT,60.28319478034973,0.69,0.23609195402298855,81,110.3193359375,17.347208,0.7442369725969102,0.09322291240096092,0.9878787878787879
