Metric1,Metric2,Spearman_Corr,p_value
DL,train_time,-0.02719496948921711,0.10279893852148829
JW,train_time,-0.3875575801147768,2.3705410927686022e-129
DL,memory,0.4136102021134638,8.262800946933566e-149
model_size,epochs,-0.340373486206933,2.4409680602784956e-98
test_accuracy,train_time,-0.19207271076952484,2.9422990082917857e-31
JW,test_accuracy,-0.09328679173360674,2.052761619113006e-08
