symbols,complexity,sequence_length,learning_rate,layers,units,run,model,train_time,DL,JW,epochs,memory,model_size,time_per_epoch,test_loss,test_accuracy
6,10,3500,0.001,1,128,0,LSTM,3.42742919921875,0.0,0.0,11,25.1318359375,0.070406,0.31158447265625,0.09004044905304909,1.0
6,10,3500,0.001,1,128,0,GRU,2.5793707370758057,0.0,0.0,8,24.8662109375,0.052998,0.3224213421344757,0.05640685185790062,1.0
6,10,3500,0.001,1,128,0,xLSTM,6.044005393981934,0.0,0.0,3,25.4833984375,0.093446,2.0146684646606445,0.053473737090826035,1.0
6,10,3500,0.001,1,128,0,Transformer,2.550978183746338,0.7,0.4666666666666667,2,76.86767578125,3.429126,1.275489091873169,0.028942175209522247,1.0
6,10,3500,0.001,1,128,0,BERT,2.6236941814422607,0.0,0.0,6,106.9521484375,17.345158,0.43728236357371014,0.03876471519470215,1.0
6,10,3500,0.001,1,128,0,GPT,4.625877618789673,0.0,0.0,6,58.5947265625,2.242694,0.7709796031316122,0.05895507521927357,1.0
6,10,3500,0.001,1,128,1,LSTM,4.051484107971191,0.0,0.0,13,25.1982421875,0.070406,0.31165262369009167,0.09696542844176292,1.0
6,10,3500,0.001,1,128,1,GRU,2.5724124908447266,0.0,0.0,8,24.9326171875,0.052998,0.3215515613555908,0.06796924024820328,1.0
6,10,3500,0.001,1,128,1,xLSTM,5.9326698780059814,0.0,0.0,3,25.5498046875,0.093446,1.977556626001994,0.09196635708212852,1.0
6,10,3500,0.001,1,128,1,Transformer,2.556779146194458,0.8,0.5333333333333334,2,76.93408203125,3.429126,1.278389573097229,0.0076689994893968105,1.0
6,10,3500,0.001,1,128,1,BERT,2.6275973320007324,0.0,0.0,6,107.0185546875,17.345158,0.43793288866678876,0.004910905845463276,1.0
6,10,3500,0.001,1,128,1,GPT,6.930562734603882,0.0,0.0,9,58.6611328125,2.242694,0.770062526067098,0.01867719180881977,1.0
6,10,3500,0.001,1,128,2,LSTM,4.0277485847473145,0.0,0.0,13,25.2646484375,0.070406,0.3098268142113319,0.07720339670777321,1.0
6,10,3500,0.001,1,128,2,GRU,2.251734495162964,0.0,0.0,7,24.9990234375,0.052998,0.321676356451852,0.0812784731388092,1.0
6,10,3500,0.001,1,128,2,xLSTM,8.020720720291138,0.0,0.0,4,25.6162109375,0.093446,2.0051801800727844,0.017005217261612415,1.0
6,10,3500,0.001,1,128,2,Transformer,2.550448417663574,0.7,0.4666666666666667,2,77.00048828125,3.429126,1.275224208831787,0.0037793659139424562,1.0
6,10,3500,0.001,1,128,2,BERT,2.1898138523101807,0.0,0.0,5,107.0849609375,17.345158,0.43796277046203613,0.021894020959734917,1.0
6,10,3500,0.001,1,128,2,GPT,10.762370347976685,0.0,0.0,14,58.7275390625,2.242694,0.7687407391411918,0.060345783829689026,1.0
6,10,3500,0.001,1,128,3,LSTM,3.4952032566070557,0.0,0.0,11,25.3310546875,0.070406,0.3177457506006414,0.061957139521837234,1.0
6,10,3500,0.001,1,128,3,GRU,2.2728939056396484,0.0,0.0,7,25.0654296875,0.052998,0.3246991293770926,0.0821894071996212,1.0
6,10,3500,0.001,1,128,3,xLSTM,6.154348373413086,0.0,0.0,3,25.6826171875,0.093446,2.051449457804362,0.0890958122909069,1.0
6,10,3500,0.001,1,128,3,Transformer,3.800122022628784,0.8,0.48,3,77.06689453125,3.429126,1.2667073408762615,0.01183714298531413,1.0
6,10,3500,0.001,1,128,3,BERT,2.190638303756714,0.0,0.0,5,107.1513671875,17.345158,0.4381276607513428,0.04699067957699299,1.0
6,10,3500,0.001,1,128,3,GPT,4.627705812454224,0.0,0.0,6,58.7939453125,2.242694,0.771284302075704,0.026876897551119328,1.0
6,10,3500,0.001,1,128,4,LSTM,3.803356170654297,0.0,0.0,12,25.3974609375,0.070406,0.3169463475545247,0.09250889718532562,1.0
6,10,3500,0.001,1,128,4,GRU,2.5914993286132812,0.0,0.0,8,25.1318359375,0.052998,0.32393741607666016,0.05622723139822483,1.0
6,10,3500,0.001,1,128,4,xLSTM,6.140893459320068,0.0,0.0,3,25.7490234375,0.093446,2.046964486440023,0.07890777289867401,1.0
6,10,3500,0.001,1,128,4,Transformer,2.550351858139038,0.7,0.4666666666666667,2,77.13330078125,3.429126,1.275175929069519,0.027312560006976128,1.0
6,10,3500,0.001,1,128,4,BERT,2.6242942810058594,0.0,0.0,6,107.2177734375,17.345158,0.43738238016764325,0.011389062274247408,1.0
6,10,3500,0.001,1,128,4,GPT,5.623492479324341,0.0,0.0,7,58.5283203125,2.242694,0.8033560684749058,0.012770818546414375,1.0
6,10,3500,0.0001,1,128,0,LSTM,34.506850481033325,0.0,0.0,110,25.1318359375,0.070406,0.3136986407366666,0.09459929540753365,1.0
6,10,3500,0.0001,1,128,0,GRU,16.757009506225586,0.0,0.0,52,24.8662109375,0.052998,0.3222501828120305,0.09359593316912651,1.0
6,10,3500,0.0001,1,128,0,xLSTM,35.75472092628479,0.0,0.0,18,25.4833984375,0.093446,1.9863733847935994,0.07050823792815208,1.0
6,10,3500,0.0001,1,128,0,Transformer,2.5466010570526123,0.9,0.6000000000000001,2,76.86767578125,3.429126,1.2733005285263062,0.020561748184263706,1.0
6,10,3500,0.0001,1,128,0,BERT,5.572059869766235,0.0,0.0,13,106.9521484375,17.345158,0.4286199899820181,0.04419581592082977,1.0
6,10,3500,0.0001,1,128,0,GPT,10.736028671264648,0.0,0.0,14,58.5947265625,2.242694,0.7668591908046177,0.07656154036521912,1.0
6,10,3500,0.0001,1,128,1,LSTM,32.64424800872803,0.0,0.0,130,25.1318359375,0.070406,0.25110960006713867,0.09862576425075531,1.0
6,10,3500,0.0001,1,128,1,GRU,16.11277174949646,0.0,0.0,53,24.8662109375,0.052998,0.304014561311254,0.09438735619187355,1.0
6,10,3500,0.0001,1,128,1,xLSTM,36.421772718429565,0.0,0.0,18,25.4833984375,0.093446,2.0234318176905313,0.07563603669404984,1.0
6,10,3500,0.0001,1,128,1,Transformer,2.5592238903045654,0.79,0.46650406504065034,2,76.86767578125,3.429126,1.2796119451522827,0.01591434795409441,1.0
6,10,3500,0.0001,1,128,1,BERT,5.235476732254028,0.0,0.0,12,106.9521484375,17.345158,0.4362897276878357,0.036808013916015625,1.0
6,10,3500,0.0001,1,128,1,GPT,13.043118238449097,0.0,0.0,17,58.5947265625,2.242694,0.7672422493205351,0.06752107664942741,1.0
6,10,3500,0.0001,1,128,2,LSTM,44.43881392478943,0.0,0.0,140,25.1318359375,0.070406,0.31742009946278166,0.09906471520662308,1.0
6,10,3500,0.0001,1,128,2,GRU,19.255149364471436,0.0,0.0,59,24.8662109375,0.052998,0.3263584638046006,0.09867658838629723,1.0
6,10,3500,0.0001,1,128,2,xLSTM,36.58631610870361,0.0,0.0,18,25.4833984375,0.093446,2.032573117150201,0.09010458365082741,1.0
6,10,3500,0.0001,1,128,2,Transformer,2.5515198707580566,0.72,0.47696969696969693,2,76.86767578125,3.429126,1.2757599353790283,0.01713545247912407,1.0
6,10,3500,0.0001,1,128,2,BERT,6.095160007476807,0.0,0.0,14,106.9521484375,17.345158,0.43536857196262907,0.054890379309654236,1.0
6,10,3500,0.0001,1,128,2,GPT,12.285558223724365,0.0,0.0,16,58.5947265625,2.242694,0.7678473889827728,0.06490467116236687,1.0
6,10,3500,0.0001,1,128,3,LSTM,31.40708875656128,0.0,0.0,99,25.1318359375,0.070406,0.31724332077334627,0.09930321201682091,1.0
6,10,3500,0.0001,1,128,3,GRU,18.080522775650024,0.0,0.0,56,24.8662109375,0.052998,0.32286647813660757,0.09939391911029816,1.0
6,10,3500,0.0001,1,128,3,xLSTM,35.78433418273926,0.0,0.0,18,25.4833984375,0.093446,1.9880185657077365,0.09067553654313087,1.0
6,10,3500,0.0001,1,128,3,Transformer,2.556522846221924,0.7,0.4666666666666667,2,76.86767578125,3.429126,1.278261423110962,0.017045628279447556,1.0
6,10,3500,0.0001,1,128,3,BERT,6.52763295173645,0.0,0.0,15,106.9521484375,17.345158,0.4351755301157633,0.030795428901910782,1.0
6,10,3500,0.0001,1,128,3,GPT,12.277623176574707,0.0,0.0,16,58.5947265625,2.242694,0.7673514485359192,0.08491900190711021,1.0
6,10,3500,0.0001,1,128,4,LSTM,33.26373243331909,0.0,0.0,105,25.1318359375,0.070406,0.31679745174589613,0.09749650582671165,1.0
6,10,3500,0.0001,1,128,4,GRU,16.88735795021057,0.0,0.0,52,24.8662109375,0.052998,0.3247568836578956,0.09769255295395851,1.0
6,10,3500,0.0001,1,128,4,xLSTM,32.13963222503662,0.0,0.0,16,25.4833984375,0.093446,2.008727014064789,0.08997299522161484,1.0
6,10,3500,0.0001,1,128,4,Transformer,2.550239086151123,0.7,0.4666666666666667,2,76.86767578125,3.429126,1.2751195430755615,0.03635852225124836,1.0
