symbols,complexity,sequence_length,learning_rate,layers,units,run,model,train_time,DL,JW,epochs,memory,model_size,time_per_epoch,test_loss,test_accuracy
6,230,3500,0.001,1,128,0,LSTM,29.165168046951294,0.71,0.20083146067415725,98,25.1318359375,0.070406,0.29760375558113566,0.09946182370185852,0.996969696969697
6,230,3500,0.001,1,128,0,GRU,31.965551137924194,0.71,0.20083146067415725,103,24.8662109375,0.052998,0.3103451566788757,0.0872381366789341,0.996969696969697
6,230,3500,0.001,1,128,0,xLSTM,53.414870500564575,0.71,0.20083146067415725,30,25.4833984375,0.093446,1.7804956833521526,0.08147278614342213,0.990909090909091
6,230,3500,0.001,1,128,0,Transformer,1.3021502494812012,0.78,0.513763440860215,1,76.86767578125,3.429126,1.3021502494812012,0.07992636039853096,1.0
6,230,3500,0.001,1,128,0,BERT,19.591691732406616,0.69,0.19813636363636355,45,106.9521484375,17.345158,0.4353709273868137,0.08692533522844315,0.990909090909091
6,230,3500,0.001,1,128,0,GPT,93.32550835609436,0.68,0.22457142857142864,121,58.5947265625,2.242694,0.7712851930255732,0.8696775734424591,0.706060606060606
6,230,3500,0.001,1,128,1,LSTM,39.793630599975586,0.7,0.20083146067415725,132,25.1318359375,0.070406,0.3014668984846635,0.1496146358549595,0.9939393939393939
6,230,3500,0.001,1,128,1,GRU,31.73008632659912,0.63,0.20154545454545458,102,24.8662109375,0.052998,0.3110792777117561,0.27006658911705017,0.9272727272727272
6,230,3500,0.001,1,128,1,xLSTM,53.488054037094116,0.71,0.20083146067415725,30,25.4833984375,0.093446,1.782935134569804,0.11413624882698059,0.9939393939393939
6,230,3500,0.001,1,128,1,Transformer,2.559804677963257,0.86,0.5733333333333333,2,76.86767578125,3.429126,1.2799023389816284,0.004828074015676975,1.0
6,230,3500,0.001,1,128,1,BERT,18.32121992111206,0.69,0.22873170731707326,42,106.9521484375,17.345158,0.43621952193123953,0.08626313507556915,0.9787878787878788
6,230,3500,0.001,1,128,1,GPT,33.872347354888916,0.81,0.565287356321839,44,58.5947265625,2.242694,0.7698260762474753,1.9045982956886292,0.19393939393939394
6,230,3500,0.001,1,128,2,LSTM,30.463167905807495,0.71,0.20083146067415725,101,25.1982421875,0.070406,0.30161552381987616,0.10304705798625946,0.996969696969697
6,230,3500,0.001,1,128,2,GRU,33.67003417015076,0.71,0.20083146067415725,107,24.8662109375,0.052998,0.31467321654346503,0.15061591565608978,0.990909090909091
6,230,3500,0.001,1,128,2,xLSTM,53.36517119407654,0.71,0.20083146067415725,30,25.4833984375,0.093446,1.7788390398025513,0.06959208473563194,0.996969696969697
6,230,3500,0.001,1,128,2,Transformer,3.8198745250701904,0.84,0.504,3,76.86767578125,3.429126,1.2732915083567302,0.013273915275931358,1.0
6,230,3500,0.001,1,128,2,BERT,18.74331283569336,0.71,0.20083146067415725,43,106.9521484375,17.345158,0.43589099617891536,0.06368362903594971,0.9939393939393939
6,230,3500,0.001,1,128,2,GPT,44.10460090637207,0.6,0.24184738955823304,57,58.5947265625,2.242694,0.7737649281819662,1.591927409172058,0.34545454545454546
6,230,3500,0.001,1,128,3,LSTM,35.90708804130554,0.71,0.20083146067415725,119,25.1318359375,0.070406,0.30174023564122304,0.10430605337023735,0.996969696969697
6,230,3500,0.001,1,128,3,GRU,29.875484943389893,0.71,0.20083146067415725,95,24.8662109375,0.052998,0.31447878887778835,0.10711511969566345,0.9939393939393939
6,230,3500,0.001,1,128,3,xLSTM,51.34640455245972,0.71,0.20083146067415725,29,25.4833984375,0.093446,1.770565674222749,0.0745142363011837,1.0
6,230,3500,0.001,1,128,3,Transformer,1.3025493621826172,0.77,0.5133333333333334,1,76.86767578125,3.429126,1.3025493621826172,0.09727511554956436,1.0
6,230,3500,0.001,1,128,3,BERT,19.405887365341187,0.66,0.19333333333333336,44,106.8857421875,17.345158,0.44104289466684515,0.08441292494535446,0.9787878787878788
6,230,3500,0.001,1,128,3,GPT,42.48999309539795,0.69,0.40555555555555556,55,58.5283203125,2.242694,0.7725453290072355,1.6494344472885132,0.3
6,230,3500,0.001,1,128,4,LSTM,33.37051439285278,0.7,0.17425806451612902,111,25.1318359375,0.070406,0.30063526480047553,0.3181257098913193,0.9454545454545454
6,230,3500,0.001,1,128,4,GRU,25.09865975379944,0.63,0.15812903225806452,80,24.8662109375,0.052998,0.313733246922493,0.48796431720256805,0.8878787878787879
6,230,3500,0.001,1,128,4,xLSTM,51.96069383621216,0.71,0.20083146067415725,29,25.4833984375,0.093446,1.7917480633176606,0.08746056631207466,0.996969696969697
