symbols,complexity,sequence_length,learning_rate,layers,units,run,model,train_time,DL,JW,epochs,memory,model_size,time_per_epoch,test_loss,test_accuracy
6,250,3500,0.001,1,128,0,LSTM,31.4102942943573,0.68,0.25349206349206355,116,25.1318359375,0.070406,0.2707783990892871,0.10002005472779274,0.996969696969697
6,250,3500,0.001,1,128,0,GRU,31.19488215446472,0.68,0.275,111,24.8662109375,0.052998,0.28103497436454705,0.8253509700298309,0.7212121212121212
6,250,3500,0.001,1,128,0,xLSTM,50.24404287338257,0.68,0.25349206349206355,30,25.4833984375,0.093446,1.6748014291127522,0.13028484582901,0.9787878787878788
6,250,3500,0.001,1,128,0,Transformer,3.8036036491394043,0.9,0.6000000000000001,3,76.86767578125,3.429126,1.267867883046468,0.002453343360684812,1.0
6,250,3500,0.001,1,128,0,BERT,23.091724395751953,0.68,0.2450980392156863,53,106.9521484375,17.345158,0.43569291312739533,0.09857870265841484,0.9757575757575757
6,250,3500,0.001,1,128,0,GPT,10.786309719085693,0.67,0.3949425287356322,14,58.5947265625,2.242694,0.7704506942204067,1.7540777921676636,0.23636363636363636
6,250,3500,0.001,1,128,1,LSTM,35.84244751930237,0.64,0.20285714285714285,130,25.1318359375,0.070406,0.2757111347638644,0.27851060032844543,0.9484848484848485
6,250,3500,0.001,1,128,1,GRU,31.51728892326355,0.55,0.16135483870967726,112,24.8662109375,0.052998,0.2814043653862817,1.0483080744743347,0.6545454545454545
6,250,3500,0.001,1,128,1,xLSTM,52.73014235496521,0.68,0.25349206349206355,31,25.4833984375,0.093446,1.7009723340311358,0.07682757824659348,0.990909090909091
6,250,3500,0.001,1,128,1,Transformer,1.300422191619873,0.88,0.5866666666666667,1,76.86767578125,3.429126,1.300422191619873,0.09257841855287552,1.0
6,250,3500,0.001,1,128,1,BERT,25.659512281417847,0.69,0.24901960784313726,59,106.9521484375,17.345158,0.43490698782064147,0.04792380332946777,1.0
6,250,3500,0.001,1,128,1,GPT,24.535706758499146,0.82,0.5575438596491229,32,58.5947265625,2.242694,0.7667408362030983,1.7750244736671448,0.21212121212121213
6,250,3500,0.001,1,128,2,LSTM,38.28758406639099,0.68,0.25349206349206355,138,25.1982421875,0.070406,0.27744626135065936,0.09506718814373016,1.0
6,250,3500,0.001,1,128,2,GRU,46.68380308151245,0.68,0.25349206349206355,158,24.8662109375,0.052998,0.2954671081108383,0.09517909586429596,1.0
