symbols,complexity,sequence_length,learning_rate,layers,units,run,model,train_time,DL,JW,epochs,memory,model_size,time_per_epoch,test_loss,test_accuracy
8,230,3500,0.001,1,128,0,LSTM,29.986809253692627,0.75,0.2833333333333332,115,28.4873046875,0.071688,0.26075486307558804,0.36930929124355316,0.9393939393939394
8,230,3500,0.001,1,128,0,GRU,23.814236879348755,0.74,0.2791666666666667,85,28.2177734375,0.054024,0.28016749269822067,0.09857803210616112,1.0
8,230,3500,0.001,1,128,0,xLSTM,39.64887547492981,0.75,0.26658436213991765,24,28.8271484375,0.09396,1.6520364781220753,0.0839442927390337,0.9939393939393939
8,230,3500,0.001,1,128,0,Transformer,2.550772190093994,0.87,0.5800000000000001,2,80.04150390625,3.431176,1.275386095046997,0.0026514685014262795,1.0
8,230,3500,0.001,1,128,0,BERT,13.478875637054443,0.72,0.2792405063291139,31,110.3193359375,17.347208,0.434802439904982,0.062410345301032066,0.990909090909091
8,230,3500,0.001,1,128,0,GPT,58.48674559593201,0.74,0.2791666666666667,76,61.7119140625,2.244744,0.769562442051737,0.07296247966587543,0.9939393939393939
8,230,3500,0.001,1,128,1,LSTM,21.840473651885986,0.7,0.2582113821138212,84,28.5537109375,0.071688,0.2600056387129284,2.195878028869629,0.19696969696969696
8,230,3500,0.001,1,128,1,GRU,30.14476776123047,0.74,0.2791666666666667,108,28.2177734375,0.054024,0.27911822001139325,0.08645709231495857,1.0
8,230,3500,0.001,1,128,1,xLSTM,39.62354326248169,0.74,0.275,24,28.8271484375,0.09396,1.6509809692700703,0.06798538193106651,0.9939393939393939
8,230,3500,0.001,1,128,1,Transformer,2.5511474609375,0.87,0.5800000000000001,2,80.04150390625,3.431176,1.27557373046875,0.008742821402847767,1.0
8,230,3500,0.001,1,128,1,BERT,13.48305630683899,0.74,0.2791666666666667,31,110.3193359375,17.347208,0.43493730022061255,0.06425013951957226,0.996969696969697
8,230,3500,0.001,1,128,1,GPT,73.2258653640747,0.74,0.2538955823293173,95,61.6455078125,2.244744,0.7707985827797338,0.30632340908050537,0.9151515151515152
8,230,3500,0.001,1,128,2,LSTM,34.245617628097534,0.69,0.26142857142857145,131,28.4873046875,0.071688,0.2614169284587598,1.9840443134307861,0.22727272727272727
